idSession,idHall,idFilm,date,time,price
S000001,H000001,F000001,2025-12-08,19:00,50.0
S000002,H000001,F000001,2025-12-09,19:00,50.0
S000011,H000002,F000001,2025-12-09,18:00,35.0
S000012,H000003,F000001,2025-12-09,18:00,45.0
S000013,H000004,F000001,2025-12-09,11:00,55.0
S000014,H000006,F000001,2025-12-09,18:00,65.0
S000003,H000002,F000002,2025-12-08,21:00,45.0
S000004,H000003,F000003,2025-12-10,18:30,70.0
S000005,H000004,F000004,2025-12-11,14:00,40.0
S000006,H000001,F000002,2025-12-08,10:00,40.0
S000007,H000006,F000005,2025-12-12,20:00,60.0
S000008,H000002,F000007,2025-12-09,17:00,55.0
S000009,H000003,F000008,2025-12-10,20:00,65.0
S000010,H000004,F000009,2025-12-11,21:00,75.0
